bleach_norm,fco2_norm,pH_norm,Salinity_norm,SSTA_norm,DO_norm,talk_norm,tco2_norm
0,0.294667835,0.834414071,0.815065631,0.372423061,0.887793063,0.606323811,0.606828228
0.001051386,0.310932629,0.832849234,0.835146736,0.354258023,0.812856519,0.590698579,0.590298947
0.03190127,0.262955446,0.839880279,0.977459351,0.363643887,0.904509262,0.591479872,0.592028068
0.01339134,0.32646239,0.746408111,0.79567797,0.352271086,0.694541224,0.598644359,0.595216803
0.001051386,0.295722594,0.852329302,0.851945954,0.240877463,0.752048938,0.591947193,0.59507846
0.06368394,0.302188237,0.821145117,0.399310672,0.465037883,0.776096887,0.591633221,0.59639973
0.004577087,0.303540373,0.817884149,0,0.652167288,1,0.589891625,0.59556499
0.521092282,0.304558945,0.817310733,0.693803129,0.442800049,0.940966779,0.591037319,0.596076383
0.001051386,0.305577304,0.816734637,0.813253107,0.444992722,0.886750583,0.591415076,0.593850771
0.003401854,0.306734239,0.807795778,0.811413847,0.525708873,0.77584944,0.593284556,0.594137442
0.008102788,0.311090576,0.811169286,0.73258396,0.496381162,0.837723628,0.592544618,0.593464186
0.353621485,0.281711431,0.829960718,0.806794705,0.472564095,0.779914215,0.578958525,0.59410631
0.059286368,0.42023103,0.829960718,0.852584377,0.365786115,0.077777788,0.745741353,0.848688446
0.003401854,0.075418807,0.829960718,0.863630157,0.74954441,0.077794663,0.562143749,0.704751367
0.001051386,0.261445576,0.842830424,0.957985442,0.311644782,0.077414636,0.487470182,0.526191017
0.001051386,0.365520417,0.70290888,0.892426668,0.499603637,0.077408282,0.791538777,0.831654928
0.02939107,0.32822536,0.862077374,0.776726298,0.553819706,0.077772496,0.416857244,0.490704808
0.008102788,0.34673825,0.815587805,0.812567694,0.295295708,0.077788833,0.446337246,0.494830906
0.005987368,0.357581304,0.8109844,0.815872922,0.368247646,0.077402043,0,0
0.017452286,0.36792348,0.810408304,0.920614141,0.785902862,0.07778352,0.223411142,0.355417693
0.003401854,0.378265656,0.809834888,0.922513898,0.724883116,0.077768525,0.42440868,0.46064731
0.001051386,0.388815591,0.796713308,0.900141691,0.573247282,0.077764861,0.586776932,0.668438342
0.008102788,0.400110776,0.829960718,0.812955107,0.57949541,0.077760893,0.799328936,0.843533948
0.001051386,0.271888651,0.829960718,0.809458228,0.569946211,0.077801381,0.340380949,0.438276057
0.001051386,0.660451356,0.829960718,0.856327453,0.65142034,0.247292966,0.770405975,0.841667609
0.010453256,0.447646897,0.829960718,0.929941046,0.439550438,0.289942364,0.855062412,0.828392731
0.005752321,0.358599663,0.845552811,0.847585011,0.614096858,0.704000273,0.679941943,0.686108313
0.006179678,0.493160987,0.65940697,0.840508669,0.370770207,0.379816309,0.662408635,0.861540949
0.006339938,0.434723913,0.871822766,0.949087545,0.294871657,0.116006823,0.75280137,0.799479595
0.003871947,0.450697716,0.810030493,0.923611416,0.534507396,0.117935816,0.821394961,0.89932252
0.001051386,0.456444931,0.804084651,0.89014107,0.404265528,0.112643269,0.602177821,0.884041759
0.004577087,0.46152438,0.803508556,0.899758314,0.698881559,0.566536372,0.539804148,0.624091535
0.001051386,0.466603828,0.80293246,0.917390941,0.672247715,0.492191441,0.604862187,0.639538494
0.002974496,0.471891036,0.789813559,0.909837462,0.746005936,0.367143103,0.600419626,0.758497266
0.001051386,0.481277649,0.786670489,0.77019824,0.474425676,0.090765348,0.867009278,0.875291331
0.017504658,0.46558185,0.823395909,0.825938477,0.25994779,0.098343629,0.983180641,0.983559856
0.010923349,0.281675243,0.829960718,0.820575314,0.765241301,0.272527401,0.619211345,0.798186014
